epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,26969.4,1.26149,1.32535,1.30979,0.79982,0.72863,0.79044,0.43125,1.59742,1.24543,1.22837,0.000214046,0.000214046,0.000214046
72,26993.5,1.29495,1.32065,1.32913,0.77162,0.74498,0.79085,0.42986,1.60692,1.24915,1.22483,0.000201611,0.000201611,0.000201611
73,27016.1,1.30702,1.35391,1.32925,0.78258,0.74056,0.79006,0.43523,1.60653,1.24993,1.21861,0.000189475,0.000189475,0.000189475
74,27038.6,1.26891,1.2858,1.28053,0.77152,0.74056,0.79039,0.43851,1.58986,1.24413,1.21686,0.000177651,0.000177651,0.000177651
75,27060.8,1.23377,1.26827,1.2892,0.75944,0.74442,0.77158,0.45147,1.51596,1.21468,1.19891,0.000166149,0.000166149,0.000166149
76,27083.2,1.20813,1.28023,1.29127,0.74272,0.74631,0.77269,0.46038,1.47184,1.21085,1.19469,0.000154982,0.000154982,0.000154982
77,27107.2,1.27984,1.29875,1.30525,0.73868,0.74887,0.7724,0.46708,1.45186,1.20759,1.19313,0.000144161,0.000144161,0.000144161
78,27129.7,1.21521,1.26842,1.27554,0.76167,0.74785,0.77601,0.47456,1.43628,1.20616,1.19257,0.000133695,0.000133695,0.000133695
79,27152.7,1.21796,1.32751,1.29449,0.75239,0.75053,0.78061,0.47751,1.42958,1.20463,1.19253,0.000123596,0.000123596,0.000123596
80,27175,1.25182,1.32414,1.30922,0.74782,0.75516,0.78356,0.47288,1.42769,1.20859,1.19207,0.000113873,0.000113873,0.000113873
81,27197.5,1.20872,1.26629,1.28303,0.73861,0.7578,0.78912,0.47668,1.42508,1.20593,1.19288,0.000104537,0.000104537,0.000104537
82,27220,1.23159,1.26112,1.28308,0.72118,0.75703,0.79002,0.47616,1.41931,1.19818,1.19369,9.55951e-05,9.55951e-05,9.55951e-05
83,27242.4,1.22473,1.28102,1.28803,0.72318,0.77144,0.79652,0.48086,1.40057,1.18377,1.19503,8.70577e-05,8.70577e-05,8.70577e-05
84,27264.7,1.22794,1.29757,1.28645,0.72499,0.77182,0.79637,0.48142,1.38999,1.18354,1.19066,7.89327e-05,7.89327e-05,7.89327e-05
85,27287.2,1.22257,1.27885,1.30441,0.72178,0.77375,0.79272,0.48132,1.37974,1.18431,1.185,7.12282e-05,7.12282e-05,7.12282e-05
86,27309.6,1.20408,1.29281,1.27928,0.71868,0.77533,0.79312,0.47892,1.37475,1.18783,1.18501,6.39518e-05,6.39518e-05,6.39518e-05
87,27331.8,1.20781,1.2792,1.28704,0.71954,0.77535,0.79458,0.47567,1.37602,1.18565,1.18533,5.71106e-05,5.71106e-05,5.71106e-05
88,27353.8,1.19237,1.26345,1.28967,0.7136,0.77722,0.79552,0.47506,1.36512,1.18433,1.18195,5.07115e-05,5.07115e-05,5.07115e-05
89,27376.2,1.24327,1.2908,1.31035,0.71729,0.77737,0.79528,0.47475,1.36845,1.18231,1.18075,4.47606e-05,4.47606e-05,4.47606e-05
90,27398.5,1.2317,1.26647,1.27887,0.72031,0.77972,0.79541,0.47219,1.37166,1.18443,1.18136,3.9264e-05,3.9264e-05,3.9264e-05
91,27420.8,1.07284,1.20312,1.23506,0.7323,0.78014,0.79539,0.47416,1.37304,1.1739,1.17999,3.4227e-05,3.4227e-05,3.4227e-05
92,27443,1.07121,1.21834,1.23671,0.72001,0.80236,0.79691,0.47408,1.36857,1.17627,1.18101,2.96546e-05,2.96546e-05,2.96546e-05
93,27464.4,1.04305,1.16014,1.21605,0.727,0.81851,0.79799,0.47566,1.37527,1.17913,1.18158,2.55513e-05,2.55513e-05,2.55513e-05
94,27486.5,1.05071,1.17868,1.22259,0.71647,0.79976,0.7994,0.47955,1.36983,1.18088,1.18162,2.19212e-05,2.19212e-05,2.19212e-05
95,27508.5,1.0524,1.13673,1.20812,0.72284,0.79649,0.79786,0.4817,1.37287,1.17863,1.18455,1.87678e-05,1.87678e-05,1.87678e-05
96,27530.3,1.0042,1.14671,1.1936,0.73892,0.79516,0.79796,0.48196,1.37222,1.18479,1.18383,1.60943e-05,1.60943e-05,1.60943e-05
97,27551.7,1.05361,1.17286,1.22884,0.74171,0.79558,0.79909,0.4824,1.37186,1.1864,1.18351,1.39032e-05,1.39032e-05,1.39032e-05
98,27572.9,1.04732,1.11966,1.20226,0.74077,0.79383,0.79921,0.48243,1.36868,1.18914,1.18165,1.21968e-05,1.21968e-05,1.21968e-05
99,27594.9,1.06644,1.1585,1.2625,0.74236,0.79523,0.8003,0.48178,1.35731,1.18839,1.18245,1.09768e-05,1.09768e-05,1.09768e-05
100,27616.2,1.02423,1.14233,1.19365,0.74265,0.79415,0.79877,0.48273,1.35573,1.18966,1.18176,1.02443e-05,1.02443e-05,1.02443e-05
